player_id,question,answer
070e2fce-b866-451a-90d6-db383042b961,strategy,"I was looking for combinations that made sense, but I just leaned in if I couldn't find anything."
070e2fce-b866-451a-90d6-db383042b961,enjoyable,"I liked the cooking part (with actual food), but I did not like the other rounds with imaginary ingredients. I think I failed on that part."
070e2fce-b866-451a-90d6-db383042b961,feedback,
34cba84e-5cb3-47d8-b7b1-f1d30ae36b91,strategy,"I liked to do a lot of experimenting, but I primarily used logic. So for things like combining cooking ingredients, I always did what made the most sense like, raw meat likes to be cooked, salted, and chopped."
34cba84e-5cb3-47d8-b7b1-f1d30ae36b91,enjoyable,"I found this very enjoyable, compared to most studies on prolific this was very fun!"
34cba84e-5cb3-47d8-b7b1-f1d30ae36b91,feedback,"No, thanks for allowing me to take this study."
1605d675-c817-44ce-8f08-4f7ea0e886cc,strategy,Tried to learn patterns in the first one and tried to imagine how best to cook the foods in the second one
1605d675-c817-44ce-8f08-4f7ea0e886cc,enjoyable,It was fun to try different things and obtaining a high score
1605d675-c817-44ce-8f08-4f7ea0e886cc,feedback,no
13be01fb-646e-414d-b843-d2498cf2af75,strategy,"No real strategy, just tried all the different things. Tried to do the cooking portion mostly logically as if cooking in real life."
13be01fb-646e-414d-b843-d2498cf2af75,enjoyable,It was ok. Not sure how you were supposed to get 100 on any of them unless there was only one particular combo that worked.
13be01fb-646e-414d-b843-d2498cf2af75,feedback,
2f9c0810-c89b-4193-8f73-5f60164d63b9,strategy,I tried to pair things that made sense once I figured out the game.  Do not pair things that does not make sense...it will only reduce your score.
2f9c0810-c89b-4193-8f73-5f60164d63b9,enjoyable,I enjoyed the experiment.  I wished it had been longer.
2f9c0810-c89b-4193-8f73-5f60164d63b9,feedback,Fun.
679b7269-cde7-4455-ab3c-3928e736ad17,strategy,There was a lot of trial and error.  I tried many different combinations of tools and ingredients.  I tried to remember which combinations seemed to work the best.  
679b7269-cde7-4455-ab3c-3928e736ad17,enjoyable,I thought the experiment was fine.  I didn't dislike anything.  I thought it was interesting trying out all of the different combinations to see what can be produced. 
679b7269-cde7-4455-ab3c-3928e736ad17,feedback,No. 
f715cc1d-99ad-4d48-83ae-6ddf41cd2959,strategy,I guessed which ingredients would go better together and didn't get anywhere at all.
f715cc1d-99ad-4d48-83ae-6ddf41cd2959,enjoyable,"I thought I would like it before I started, but I couldn't get a high score which was frustrating and not enjoyable."
f715cc1d-99ad-4d48-83ae-6ddf41cd2959,feedback,"None of my ingredients had any value, they were all worth 0.  I don't think that's the same as what the instructions indicated..."
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
6e6650c9-7704-4a2a-905a-d6d8167627fa,strategy,Different strategy for different section.
6e6650c9-7704-4a2a-905a-d6d8167627fa,enjoyable,
6e6650c9-7704-4a2a-905a-d6d8167627fa,feedback,
1f930645-0a77-43a1-8133-ba4246a0df7c,strategy,Guess and check? I tried to combine different ingredients and tools and see what got the best outcome. 
1f930645-0a77-43a1-8133-ba4246a0df7c,enjoyable,"I enjoy the challenge of trying to figure out which combinations worked best, but I'm not sure I did very well at it. "
1f930645-0a77-43a1-8133-ba4246a0df7c,feedback,No.
741d8373-ed81-40ca-8e07-0e72e5da8c26,strategy,"based on the ingredients, i looked out for tools would apply and make the most sense for those ingredients"
741d8373-ed81-40ca-8e07-0e72e5da8c26,enjoyable,not very enjoyable
741d8373-ed81-40ca-8e07-0e72e5da8c26,feedback,nope
